t,vy,ay,y_real,y_pred
0.2666667,-4.530445,-77.66478,-2.078527,-1.2220657
0.2833333,-4.530445,77.66478,-2.229542,-1.2063041
0.3,-0.0,0.0,-2.229542,-1.4702687
0.3166667,0.0,0.0,-2.229542,-1.5070881
0.0,0.0,0.0,-1.645248,-0.84288454
0.01666667,-0.000505547,0.0,-1.645294,-0.87765455
0.03333333,0.001533484,-21.69262,-1.645265,-0.8779613
0.05,-0.6333316,-11.07031,-1.645243,-0.9121083
0.06666667,-0.6386583,10.68242,-1.666376,-0.9451047
0.08333333,-0.007116472,-23.30738,-1.666532,-0.9795035
0.1,-1.31733,-22.38085,-1.666613,-0.97954893
0.1166667,-1.316125,22.57925,-1.710443,-1.0006915
0.1333333,-0.001932703,-66.21074,-1.710484,-1.0156982
0.15,-3.247011,-55.59679,-1.710507,-1.013885
0.1666667,-3.246305,55.67517,-1.818717,-0.9760746
0.1833333,-0.0,0.7990613,-1.818717,-1.2267803
0.2,-3.222999,-55.25141,-1.818717,-1.1251658
0.2166667,-3.222999,55.25141,-1.926151,-1.1017457
0.2333333,-0.0,-14.16703,-1.926151,-1.3073069
0.25,-3.636204,-62.29934,-1.926151,-1.2197576
0.2666667,-3.635166,62.32865,-2.047358,-1.1942081
0.2833333,0.0003360521,-21.29189,-2.047323,-1.4005176
0.3,-4.257049,-72.98951,-2.047346,-1.3062208
0.3166667,-4.256347,72.99002,-2.189225,-1.2862278
0.3333333,-0.0,7.095036,-2.189225,-1.5548825
0.35,-4.049409,0.0,-2.189225,-1.5048189
0.3666667,0.0,0.0,-2.324205,-1.6175462
0.0,0.0,0.0,-0.05790521,-0.84288454
0.01666667,-1.119805,0.0,-0.09528462,-0.81975055
0.03333333,0.003492729,38.47036,-0.09523205,-0.85092604
0.05,0.002416027,-110.1078,-0.0951682,-0.77201664
0.06666667,-3.208692,-55.08898,-0.09515152,-0.83103406
0.08333333,-3.209192,54.99756,-0.2021246,-0.7725625
0.1,-0.0,-9.592165,-0.2021246,-1.0363181
0.1166667,-3.488964,-59.8108,-0.2021246,-0.93082106
0.1333333,-3.488964,59.8108,-0.3184234,-0.8750888
0.15,-0.0,-44.63493,-0.3184234,-1.0848835
0.1666667,-4.790816,-82.12827,-0.3184234,-0.99111694
0.1833333,-4.790816,82.68249,-0.4781172,-0.96450514
0.2,0.01616475,164.4313,-0.4781172,-1.0036029
0.2166667,0.013181,-198.9593,-0.4775784,-0.9787061
0.2333333,-5.796388,-99.81857,-0.4776779,-1.0989492
0.25,-5.793404,99.4178,-0.6707913,-1.1298171
0.2666667,-0.0,198.631,-0.6707913,-1.1403999
0.2833333,-0.0,-241.0286,-0.6707913,-1.0606095
0.3,-7.030001,-120.5143,-0.6707913,-1.1993929
0.3166667,-7.030001,120.5669,-0.9051247,-1.2959023
0.3333333,0.001535037,-25.02187,-0.9051247,-1.5052202
0.35,-7.759038,-133.0647,-0.9050735,-1.2816789
0.3666667,-7.760573,132.592,-1.163759,-1.4198289
0.3833333,-0.01148617,265.9656,-1.163759,-1.4049007
0.4,-0.008985099,-70.21938,-1.164142,-1.5824567
0.4166667,-2.052558,-12.83703,-1.164059,-1.6834885
0.4333333,-1.412178,40.73776,-1.232561,-1.743921
0.45,0.4845965,-189.0693,-1.211131,-1.5149993
0.4666667,-7.327282,-468.953,-1.216408,-1.0250263
0.4833333,-16.69856,-43.96683,-1.455374,-1.7696493
0.5,-9.789928,61.89833,-1.773026,-1.7618093
0.5166667,-10.25859,0.0,-1.781705,-1.8114238
0.5333333,0.0,0.0,-2.114979,-1.98574
0.0,0.0,0.0,-1.500505,-0.84288454
0.01666667,0.003991906,0.0,-1.500351,-0.87777877
0.03333333,-0.0008399915,-44.29657,-1.500372,-0.8419112
0.05,-1.287769,-22.16719,-1.500379,-0.8763543
0.06666667,-1.29107,21.91777,-1.543298,-0.88566923
0.08333333,-0.006464322,-72.29445,-1.543414,-0.9015361
0.1,-3.399392,-58.05365,-1.543513,-0.89779574
0.1166667,-3.396426,58.30824,-1.656727,-0.84068394
0.1333333,-0.0005216603,-26.37393,-1.656727,-1.0791557
0.15,-4.165927,-71.398,-1.656745,-0.978403
0.1666667,-4.165405,71.28024,-1.795592,-0.92195535
0.1833333,-0.004217165,142.8089,-1.795592,-1.0044595
0.2,-0.002252881,-139.0778,-1.795732,-1.0388242
0.2166667,-4.057561,-69.48095,-1.795667,-1.1299479
0.2333333,-4.059526,69.52452,-1.930984,-1.0833445
0.25,-0.0,139.2029,-1.930984,-1.1685833
0.2666667,0.0005602599,-196.4033,-1.930984,-1.0928265
0.2833333,-5.728149,-98.21605,-1.930965,-1.212706
0.3,-5.728709,98.18724,-2.121922,-1.2509284
0.3166667,-0.0,110.0364,-2.121922,-1.381273
0.3333333,-2.519316,0.0,-2.121922,-1.5136412
0.35,0.0,0.0,-2.2059,-1.5807267
0.0,0.0,0.0,-1.55255,-0.84288454
0.01666667,0.003170212,0.0,-1.552463,-0.8777561
0.03333333,0.0007957206,-43.7411,-1.552444,-0.8428408
0.05,-1.272784,-21.68789,-1.552437,-0.8775315
0.06666667,-1.268385,21.99803,-1.59487,-0.8868365
0.08333333,0.007642356,-72.0444,-1.594716,-0.90232426
0.1,-3.370484,-58.04174,-1.594616,-0.8981614
0.1166667,-3.373502,57.72798,-1.707066,-0.84279454
0.1333333,-0.0,115.6629,-1.707066,-0.9388002
0.15,-0.0,-84.00722,-1.707066,-1.0222045
0.1666667,-2.450211,-42.10999,-1.707066,-1.0811391
0.1833333,-2.453313,41.95701,-1.788739,-1.0779457
0.2,-0.002910462,-128.2052,-1.788843,-1.0561147
0.2166667,-6.190984,-106.0314,-1.788836,-1.0477788
0.2333333,-6.191177,106.1279,-1.995209,-1.0907754
0.25,-0.0,23.01682,-1.995209,-1.3904576
0.2666667,-5.519853,-94.61997,-1.995209,-1.1839519
0.2833333,-5.519676,94.63013,-2.179204,-1.2097548
0.3,0.0002077926,189.2496,-2.179198,-1.2178019
0.3166667,3.050167e-05,-144.6309,-2.179197,-1.2833633
0.3333333,-4.218209,-72.31319,-2.179197,-1.3813723
0.35,-4.218209,0.0,-2.319804,-1.49763
0.3666667,0.0,0.0,-2.319804,-1.6175462
0.0,0.0,0.0,-1.830885,-0.84288454
0.01666667,-0.5715677,0.0,-1.8499,-0.851666
0.03333333,-0.004448621,-23.55634,-1.849938,-0.8748288
0.05,-1.25971,-21.44158,-1.850048,-0.8782847
0.06666667,-1.256377,21.65298,-1.891928,-0.88819444
0.08333333,5.081101e-05,43.07595,-1.891927,-0.95967466
0.1,3.750389e-06,-64.25013,-1.891926,-0.9493052
0.1166667,-1.873933,-32.26797,-1.891927,-0.99282855
0.1333333,-1.878092,-101.7622,-1.954391,-0.92209923
0.15,-3.907131,-2.587673,-1.95453,-1.0205357
