t,y_real,y_pred
0.0,-1.642633,-0.90192914
0.01666667,-1.642698,-0.90699863
0.03333333,-1.669655,-0.9126687
0.05,-1.669348,-0.9191561
0.06666667,-1.669263,-0.9267726
0.08333333,-1.7096,-0.9359569
0.1,-1.70971,-0.94730467
0.1166667,-1.709806,-0.96158814
0.1333333,-1.825779,-0.979738
0.15,-1.825779,-1.0027493
0.1666667,-1.825779,-1.0314661
0.1833333,-1.950078,-1.0662383
0.2,-1.950078,-1.1065472
0.2166667,-1.950078,-1.150825
0.2333333,-2.078527,-1.1967041
0.25,-2.078527,-1.2416862
0.2666667,-2.078527,-1.2838793
0.2833333,-2.229542,-1.3224114
0.3,-2.229542,-1.3573998
0.3166667,-2.229542,-1.3896406
0.0,-1.645248,-0.90192914
0.01666667,-1.645294,-0.90699863
0.03333333,-1.645265,-0.9126687
0.05,-1.645243,-0.9191561
0.06666667,-1.666376,-0.9267726
0.08333333,-1.666532,-0.9359569
0.1,-1.666613,-0.94730467
0.1166667,-1.710443,-0.96158814
0.1333333,-1.710484,-0.979738
0.15,-1.710507,-1.0027493
0.1666667,-1.818717,-1.0314661
0.1833333,-1.818717,-1.0662383
0.2,-1.818717,-1.1065472
0.2166667,-1.926151,-1.150825
0.2333333,-1.926151,-1.1967041
0.25,-1.926151,-1.2416862
0.2666667,-2.047358,-1.2838793
0.2833333,-2.047323,-1.3224114
0.3,-2.047346,-1.3573998
0.3166667,-2.189225,-1.3896406
0.3333333,-2.189225,-1.4202487
0.35,-2.189225,-1.4503653
0.3666667,-2.324205,-1.4809552
0.0,-0.05790521,-0.90192914
0.01666667,-0.09528462,-0.90699863
0.03333333,-0.09523205,-0.9126687
0.05,-0.0951682,-0.9191561
0.06666667,-0.09515152,-0.9267726
0.08333333,-0.2021246,-0.9359569
0.1,-0.2021246,-0.94730467
0.1166667,-0.2021246,-0.96158814
0.1333333,-0.3184234,-0.979738
0.15,-0.3184234,-1.0027493
0.1666667,-0.3184234,-1.0314661
0.1833333,-0.4781172,-1.0662383
0.2,-0.4781172,-1.1065472
0.2166667,-0.4775784,-1.150825
0.2333333,-0.4776779,-1.1967041
0.25,-0.6707913,-1.2416862
0.2666667,-0.6707913,-1.2838793
0.2833333,-0.6707913,-1.3224114
0.3,-0.6707913,-1.3573998
0.3166667,-0.9051247,-1.3896406
0.3333333,-0.9051247,-1.4202487
0.35,-0.9050735,-1.4503653
0.3666667,-1.163759,-1.4809552
0.3833333,-1.163759,-1.5126745
0.4,-1.164142,-1.5458004
0.4166667,-1.164059,-1.5802355
0.4333333,-1.232561,-1.615622
0.45,-1.211131,-1.6515672
0.4666667,-1.216408,-1.6879251
0.4833333,-1.455374,-1.7250156
0.5,-1.773026,-1.7636404
0.5166667,-1.781705,-1.8047642
0.5333333,-2.114979,-1.8488529
0.0,-1.500505,-0.90192914
0.01666667,-1.500351,-0.90699863
0.03333333,-1.500372,-0.9126687
0.05,-1.500379,-0.9191561
0.06666667,-1.543298,-0.9267726
0.08333333,-1.543414,-0.9359569
0.1,-1.543513,-0.94730467
0.1166667,-1.656727,-0.96158814
0.1333333,-1.656727,-0.979738
0.15,-1.656745,-1.0027493
0.1666667,-1.795592,-1.0314661
0.1833333,-1.795592,-1.0662383
0.2,-1.795732,-1.1065472
0.2166667,-1.795667,-1.150825
0.2333333,-1.930984,-1.1967041
0.25,-1.930984,-1.2416862
0.2666667,-1.930984,-1.2838793
0.2833333,-1.930965,-1.3224114
0.3,-2.121922,-1.3573998
0.3166667,-2.121922,-1.3896406
0.3333333,-2.121922,-1.4202487
0.35,-2.2059,-1.4503653
0.0,-1.55255,-0.90192914
0.01666667,-1.552463,-0.90699863
