file,n,dt,g_newton,rmse_ay_newton
304.txt,22,0.01666667000000001,-11.629802511616376,214.61566649660116
305.txt,38,0.01666669999999998,-7.856993492000141,433.2943485253919
306.txt,33,0.01666669999999998,-8.265232105193148,365.7296601254178
307.txt,32,0.01666669999999998,-8.992234290916404,347.53463597263215
308.txt,25,0.016666684999999994,-10.302417776948566,230.04001888880077
309.txt,25,0.016666684999999994,-8.752854599870107,254.4270162030535
310.txt,45,0.016666699999999923,-9.603842725641993,493.5690951221732
311.txt,24,0.01666667000000001,-7.896228086896006,355.79010195092894
312.txt,40,0.01666669999999998,-8.764566414743252,453.60575459964826
313.txt,25,0.016666684999999994,6.75260819322348,1394.4537845828806
314.txt,38,0.01666669999999998,-10.18370487090072,425.3063303028231
315.txt,24,0.01666667000000001,-7.801736551114773,292.39409953471113
316.txt,23,0.016666684999999994,-7.16849464147254,218.9771416855611
317.txt,23,0.016666684999999994,-9.244933934067769,276.66045723842893
318.txt,34,0.01666669999999998,-9.317586277715003,364.65199861977055
319.txt,35,0.01666669999999998,-10.166423107789667,397.3051476385054
320.txt,21,0.016666670000000005,-12.16407946547584,181.53535677163606
321.txt,38,0.01666669999999998,-8.588179203565172,425.0851505408349
322.txt,37,0.01666669999999995,-7.699132811459106,395.3430450086266
323.txt,40,0.01666669999999998,-7.563074410121912,418.16989842048173
324.txt,25,0.016666684999999994,-7.907656094014967,237.62167633633976
325.txt,39,0.01666669999999995,-8.829959834973161,434.84987305634394
326.txt,38,0.01666669999999998,-8.714855707841107,394.52653569328095
327.txt,40,0.01666669999999998,-8.855704619529172,521.3578170607892
328.txt,27,0.016666684999999994,-10.731005962108057,361.0544324719676
329.txt,27,0.016666684999999994,-6.34498768453733,285.5406094573264
330.txt,24,0.01666667000000001,-12.367231243027627,219.07792012256664
331.txt,40,0.01666669999999998,-9.655687140654491,430.91440533785135
332.txt,37,0.01666669999999995,-7.444561596941691,447.69259260519226
333.txt,35,0.01666669999999998,-7.821008623756498,759.6787726770854
334.txt,42,0.016666699999999923,-9.566891086326962,395.31464232381177
335.txt,35,0.01666669999999998,-9.82187411832968,394.81827188590654
336.txt,33,0.01666669999999998,-10.550917021770989,316.31911678647214
337.txt,28,0.01666669999999998,-9.89262095141812,336.3533729103489
338.txt,40,0.01666669999999998,-9.66253120572049,291.3294337394717
339.txt,35,0.01666669999999998,-9.447360208079157,316.2192888074175
340.txt,40,0.01666669999999998,-8.878769991212609,443.47070699347313
341.txt,33,0.01666669999999998,-10.81451854237115,356.7358449405283
342.txt,44,0.016666699999999923,-9.78511153836072,407.21028685584736
343.txt,31,0.01666669999999998,-10.773716642344239,294.0193099388333
344.txt,22,0.01666667000000001,-7.377725350506136,258.83005819325155
345.txt,32,0.01666669999999998,-7.862948636672935,322.64564426638697
346.txt,35,0.01666669999999998,-10.825792886622832,419.8567156856891
347.txt,23,0.016666684999999994,-10.165481945738437,294.890248602438
348.txt,27,0.016666684999999994,-11.43626039740195,547.7279192101034
349.txt,29,0.01666669999999998,-9.502892799790205,366.2668083584335
350.txt,34,0.01666669999999998,-9.537204100732502,378.3538818194207
351.txt,30,0.01666669999999998,-10.201846828711858,390.777686261654
352.txt,23,0.016666684999999994,-10.206347807329124,224.23746214476856
353.txt,39,0.01666669999999995,-8.89383614689411,469.42430718647967
354.txt,34,0.01666669999999998,-11.034808304761556,425.10714927670114
355.txt,35,0.01666669999999998,-9.815885798008468,476.55624104824574
356.txt,26,0.01666669999999998,-10.965619502646678,269.53006208957646
357.txt,34,0.01666669999999998,-9.595327619293368,381.59832343374654
358.txt,36,0.01666669999999998,-9.059267737813972,552.8355729970241
359.txt,19,0.016666670000000005,-9.383990894713685,269.4523962722122
360.txt,25,0.016666684999999994,-8.053436959156482,382.7830820588203
361.txt,19,0.016666670000000005,-7.251470002843232,254.55827564123334
362.txt,23,0.016666684999999994,-8.673299597282652,332.6351143828422
363.txt,37,0.01666669999999995,-9.879099352722614,343.10814944493416
364.txt,41,0.01666669999999995,-9.014035104094397,335.09273838366437
365.txt,35,0.01666669999999998,-7.812005302355418,412.1827752375522
