file,n,dt,win_sg,rmse_vy_sg,rmse_ay_sg
153.txt,24,0.01666667000000001,5,6.113096616073844,0.0005956828029403618
154.txt,28,0.01666669999999998,5,0.38561809527161633,0.0004218076882260958
155.txt,26,0.01666669999999998,5,0.328539496542026,0.0007274633217562216
156.txt,29,0.01666669999999998,5,0.4446744180399595,0.0004918484049222477
157.txt,25,0.016666684999999994,5,0.3591931541660544,0.0003252644172199378
158.txt,41,0.01666669999999995,5,0.5583643582394221,0.00035611363836725204
159.txt,38,0.01666669999999998,5,0.46470444147854273,0.000594617984469036
160.txt,36,0.01666669999999998,5,0.39055654664142625,0.00038662259033382814
161.txt,33,0.01666669999999998,5,0.9640285766872043,0.0006375762246907594
162.txt,39,0.01666669999999995,5,0.44641681701887065,0.0003896251430938594
163.txt,28,0.01666669999999998,5,0.4030709402480958,0.0006758077558112442
164.txt,19,0.016666670000000005,5,0.3427202423162024,0.0007347744652768147
165.txt,22,0.01666667000000001,5,0.3385089737895676,0.00047448644261465536
166.txt,32,0.01666669999999998,5,0.6520235661164278,0.00037005224190136027
167.txt,37,0.01666669999999995,5,0.4580200658678055,0.00039245128401889536
168.txt,35,0.01666669999999998,5,0.5708281404395825,0.0004161144318617208
169.txt,25,0.016666684999999994,5,0.3430638342711076,0.0005407777911588221
170.txt,30,0.01666669999999998,5,0.4753036123378859,0.0005199889122459349
171.txt,33,0.01666669999999998,5,0.4431470678711108,0.0005238019721516756
172.txt,40,0.01666669999999998,5,0.5799884891786444,0.000531516608303557
173.txt,23,0.016666684999999994,5,0.4094828050434175,0.0005473038765503159
174.txt,37,0.01666669999999995,5,0.6280788554398365,0.00041204847131394716
175.txt,41,0.01666669999999995,5,0.7159669302587575,0.0004382370084917175
176.txt,41,0.01666669999999995,5,0.6614068075157031,0.0003916738479099748
177.txt,34,0.01666669999999998,5,0.44937102952989155,0.0008554365853751245
178.txt,28,0.01666669999999998,5,0.326422764140326,0.0004691290386385772
179.txt,38,0.01666669999999998,5,0.3579326472982856,0.0004622790277111428
180.txt,23,0.016666684999999994,5,0.2398588688176844,0.00041828021984941616
181.txt,39,0.01666669999999995,5,0.5347449894262918,0.0005200250278669707
182.txt,38,0.01666669999999998,5,0.36657158217591645,0.00037794674847136853
183.txt,26,0.01666669999999998,5,0.3170133487028305,0.0005863957676649487
184.txt,25,0.016666684999999994,5,0.25524090611570377,0.0005240921314761105
185.txt,39,0.01666669999999995,5,0.5613176395845433,0.0004030606618360093
186.txt,24,0.01666667000000001,5,0.46242606282402926,0.0004821731633121688
